Location,Gear,Treatment,Oyster,S_boat,T_boat,Dirty_weight_Sboat,Clean_weight_Sboat,Fouling_weight,Whole_wet_weight,Fouling_ratio,Dry_tissue_Tboat,Dry_tissue,Dry_shell_Sboat,Dry_shell,Condition_index
Inside,BP,BPi,14,2.117,2.110,24.281,23.747,0.534,21.630,2.469,2.653,0.543,17.483,15.366,8.669
Inside,BP,BPi,15,2.129,2.080,15.061,14.724,0.337,12.595,2.676,2.428,0.348,11.206,9.077,9.892
Inside,BP,BPi,16,2.089,2.104,24.941,24.692,0.249,22.603,1.102,3.003,0.899,18.087,15.998,13.611
Inside,BP,BPi,17,2.117,2.112,23.362,22.907,0.455,20.790,2.189,2.590,0.478,16.802,14.685,7.830
Inside,BP,BPi,18,2.111,2.137,36.886,36.319,0.567,34.208,1.658,3.061,0.924,26.370,24.259,9.287
Inside,BP,BPi,19,2.134,2.093,16.972,16.560,0.412,14.426,2.856,2.591,0.498,12.483,10.349,12.215
Inside,BP,BPi,20,2.081,2.124,26.281,25.951,0.330,23.870,1.382,2.824,0.700,19.909,17.828,11.586
Inside,FB,FBi,21,2.129,2.110,33.855,31.965,1.890,29.836,6.335,2.980,0.870,21.745,19.616,8.513
Inside,FB,FBi,22,2.123,2.092,36.247,33.196,3.051,31.073,9.819,2.925,0.833,23.324,21.201,8.438
Inside,FB,FBi,23,2.088,2.090,46.346,41.362,4.984,39.274,12.690,3.386,1.296,28.253,26.165,9.886
Inside,FB,FBi,24,2.090,2.096,25.084,23.250,1.834,21.160,8.667,3.032,0.936,14.597,12.507,10.817
Inside,FB,FBi,25,2.109,2.126,22.290,18.897,3.393,16.788,20.211,2.764,0.638,14.883,12.774,15.894
Inside,FB,FBi,26,2.106,2.119,26.146,22.199,3.947,20.093,19.644,2.652,0.533,15.061,12.955,7.467
Inside,FB,FBi,27,2.087,2.084,23.868,22.812,1.056,20.725,5.095,2.752,0.668,15.423,13.336,9.040
Inside,FB,FBi,28,2.094,2.101,15.561,13.807,1.754,11.713,14.975,2.538,0.437,9.576,7.482,10.329
