Bag,Height,Length,Width,Cup_ratio,Shell_index,Oyster #,Sum actual dimen.,3:2:1 exp. height,3:2:1 exp. length,3:2:1 exp. width,Chi-square
Rep.,42,34,15,0.36,0.71,14,91,45.5,30.33333333,15.16666667,0.7142857143
Rep.,39,24,9,0.23,1.00,15,72,36,24,12,1
Rep.,33,22,7,0.21,1.29,16,62,31,20.66666667,10.33333333,1.290322581
Rep.,33,30,8,0.24,3.11,17,71,35.5,23.66666667,11.83333333,3.112676056
Rep.,52,32,11,0.21,1.91,18,95,47.5,31.66666667,15.83333333,1.905263158
Rep.,40,32,11,0.28,1.31,19,83,41.5,27.66666667,13.83333333,1.313253012
Rep.,46,30,11,0.24,1.02,20,87,43.5,29,14.5,1.022988506
Rep.,42,34,8,0.19,3.86,21,84,42,28,14,3.857142857
Rep.,40,25,9,0.23,1.15,22,74,37,24.66666667,12.33333333,1.148648649
Rep.,35,28,9,0.26,1.44,23,72,36,24,12,1.444444444
Rep.,52,30,14,0.27,0.71,24,96,48,32,16,0.7083333333
Rep.,28,15,7,0.25,0.74,25,50,25,16.66666667,8.333333333,0.74
Rep.,40,29,10,0.25,1.04,26,79,39.5,26.33333333,13.16666667,1.037974684
Rep.,38,27,11,0.29,0.33,27,76,38,25.33333333,12.66666667,0.3289473684
Rep.,53,38,12,0.23,1.99,28,103,51.5,34.33333333,17.16666667,1.990291262
Rep.,55,34,11,0.20,2.44,29,100,50,33.33333333,16.66666667,2.44
Rep.,40,28,13,0.33,0.06,30,81,40.5,27,13.5,0.06172839506
Rep.,32,28,9,0.28,1.81,31,69,34.5,23,11.5,1.811594203
Rep.,60,38,15,0.25,1.00,32,113,56.5,37.66666667,18.83333333,1
